held_out_paper_doi,model_id,model_label,n_test,mae,rmse,r2,spearman_rho,baseline_mae,mae_improvement_vs_baseline_pct,beats_baseline
10.1002/adma.201606944,baseline_mean,Mean baseline,2,51.03375,51.03375,0.0,,51.03375,0.0,False
10.1002/adma.201606944,rf_composition,RF: composition,2,75.40460560932792,75.40460560932792,0.0,,51.03375,-47.7543892215013,False
10.1002/adma.201606944,rf_descriptors,RF: descriptors,2,7.801440107235209,7.801440107235209,0.0,,51.03375,84.71317489458406,True
10.1002/adma.201606944,rf_combined,RF: combined,2,5.410574435444673,5.410574435444673,0.0,,51.03375,89.39804651736415,True
10.1002/anie.201809056,baseline_mean,Mean baseline,2,67.1418581081081,67.1418581081081,0.0,,67.1418581081081,0.0,False
10.1002/anie.201809056,rf_composition,RF: composition,2,91.68615171736437,91.68615171736437,0.0,,67.1418581081081,-36.555874831072465,False
10.1002/anie.201809056,rf_descriptors,RF: descriptors,2,40.95029688881095,41.530337195351414,0.0,,67.1418581081081,39.0092886275577,True
10.1002/anie.201809056,rf_combined,RF: combined,2,35.71695614967384,36.15825121310217,0.0,,67.1418581081081,46.803741874160856,True
10.1002/btm2.10580,baseline_mean,Mean baseline,8,12.52755172413792,13.42728759656808,-6.720460430401496,,12.52755172413792,0.0,False
10.1002/btm2.10580,rf_composition,RF: composition,8,18.575687755341242,20.851551165954366,-17.618442823098714,0.5155800469472482,12.52755172413792,-48.27867538993955,False
10.1002/btm2.10580,rf_descriptors,RF: descriptors,8,23.2743748311663,24.48520812746323,-24.672858025701373,0.5400617248673217,12.52755172413792,-85.78550177782577,False
10.1002/btm2.10580,rf_combined,RF: combined,8,29.39239651892568,30.386860891247114,-38.54014837058144,-0.3571428571428572,12.52755172413792,-134.62203282938995,False
10.1002/jbm.a.37705,baseline_mean,Mean baseline,3,30.32990960451976,34.89210472548046,-3.091535007305848,,30.32990960451976,0.0,False
10.1002/jbm.a.37705,rf_composition,RF: composition,3,54.93841257705662,57.58285102391552,-10.143413961307704,,30.32990960451976,-81.13609072171353,False
10.1002/jbm.a.37705,rf_descriptors,RF: descriptors,3,8.43314750962378,11.606400646496134,0.5472827394686808,1.0,30.32990960451976,72.1952764792709,True
10.1002/jbm.a.37705,rf_combined,RF: combined,3,15.649001026741336,22.42680906076115,-0.69031212913762,1.0,30.32990960451976,48.40406308230696,True
10.1002/smll.201805097,baseline_mean,Mean baseline,11,35.07947101678808,39.32859969200004,-2.9586097484068494,,35.07947101678808,0.0,False
10.1002/smll.201805097,rf_composition,RF: composition,11,18.606164978911647,21.961586088724147,-0.23439208138881984,,35.07947101678808,46.95996136883807,True
10.1002/smll.201805097,rf_descriptors,RF: descriptors,11,66.69724692153349,71.96525903622083,-12.254749020712659,-0.17272727272727276,35.07947101678808,-90.13184916504017,False
10.1002/smll.201805097,rf_combined,RF: combined,11,66.4515731763563,72.2863326828516,-12.373285219847089,-0.17272727272727276,35.07947101678808,-89.43151435936534,False
10.1016/j.jconrel.2019.10.028,baseline_mean,Mean baseline,16,46.50172872340423,46.68146685465848,-129.11014674380854,,46.50172872340423,0.0,False
10.1016/j.jconrel.2019.10.028,rf_composition,RF: composition,16,42.83100318546832,48.10282063011825,-137.1539365849845,0.5662353177085653,46.50172872340423,7.893739950550353,True
10.1016/j.jconrel.2019.10.028,rf_descriptors,RF: descriptors,16,6.837380718191616,7.69499612707589,-2.5354035146142855,,46.50172872340423,85.29650207444787,True
10.1016/j.jconrel.2019.10.028,rf_combined,RF: combined,16,8.503218529384277,10.468267137043005,-5.5429224322553345,-0.2159244011528662,46.50172872340423,81.71418834778797,True
10.1021/acs.jpcb.5b02891,baseline_mean,Mean baseline,8,53.75,56.9983357841725,-0.029835849720544205,,53.75,0.0,False
10.1021/acs.jpcb.5b02891,rf_composition,RF: composition,8,53.75,60.053623958943604,-0.14319968320228393,0.11043152607484653,53.75,0.0,False
10.1021/acs.jpcb.5b02891,rf_descriptors,RF: descriptors,8,56.50962954500828,64.78607802809434,-0.3304759683050471,,53.75,-5.134194502340987,False
10.1021/acs.jpcb.5b02891,rf_combined,RF: combined,8,53.75,56.48054565051376,-0.011210155357628704,0.11043152607484653,53.75,0.0,False
10.1021/acs.nanolett.5b02497,baseline_mean,Mean baseline,2,28.381722972972966,32.33840130424789,-3.352849943452992,,28.381722972972966,0.0,False
10.1021/acs.nanolett.5b02497,rf_composition,RF: composition,2,32.60682043033586,38.47342597418875,-5.1611009622950315,,28.381722972972966,-14.886684157217381,False
10.1021/acs.nanolett.5b02497,rf_descriptors,RF: descriptors,2,16.053550375803326,22.315162550796153,-1.0727012681309267,,28.381722972972966,43.43701264686918,True
10.1021/acs.nanolett.5b02497,rf_combined,RF: combined,2,20.133803422674518,20.30111719911474,-0.7154437441506438,,28.381722972972966,29.06067245513137,True
10.1021/jacs.2c12893,baseline_mean,Mean baseline,2,38.736216216216214,39.07115907865355,-57.57618692086954,,38.736216216216214,0.0,False
10.1021/jacs.2c12893,rf_composition,RF: composition,2,41.12743933568948,49.0767397337092,-91.41871272869102,,38.736216216216214,-6.173094207565438,False
10.1021/jacs.2c12893,rf_descriptors,RF: descriptors,2,4.906299187623169,6.269090513450551,-0.508056412433346,,38.736216216216214,87.33407733931112,True
10.1021/jacs.2c12893,rf_combined,RF: combined,2,2.7875234920225935,3.511110493882889,0.5269603977489541,,38.736216216216214,92.8038312351849,True
10.1039/C9NR02004G,baseline_mean,Mean baseline,1,107.05047138047138,107.05047138047138,,,107.05047138047138,0.0,False
10.1039/C9NR02004G,rf_composition,RF: composition,1,93.19713449734694,93.19713449734694,,,107.05047138047138,12.940939637610628,True
10.1039/C9NR02004G,rf_descriptors,RF: descriptors,1,96.3919593607982,96.3919593607982,,,107.05047138047138,9.956529739875164,True
10.1039/C9NR02004G,rf_combined,RF: combined,1,91.03770093968025,91.03770093968025,,,107.05047138047138,14.958150332547019,True
10.1073/pnas.1209367109,baseline_mean,Mean baseline,1,20.17646464646465,20.17646464646465,,,20.17646464646465,0.0,False
10.1073/pnas.1209367109,rf_composition,RF: composition,1,54.23980355949736,54.23980355949736,,,20.17646464646465,-168.82709389328687,False
10.1073/pnas.1209367109,rf_descriptors,RF: descriptors,1,51.28797753155372,51.28797753155372,,,20.17646464646465,-154.19704804697028,False
10.1073/pnas.1209367109,rf_combined,RF: combined,1,48.86050925542526,48.86050925542526,,,20.17646464646465,-142.16586062804944,False
https://doi.org/10.1016/j.ijpharm.2023.123050,baseline_mean,Mean baseline,3,30.95818079096045,35.276275690920826,-0.3631622005351347,,30.95818079096045,0.0,False
https://doi.org/10.1016/j.ijpharm.2023.123050,rf_composition,RF: composition,3,40.2728649980643,51.138739754495916,-1.8647196121108265,-0.8660254037844387,30.95818079096045,-30.087957267255394,False
https://doi.org/10.1016/j.ijpharm.2023.123050,rf_descriptors,RF: descriptors,3,26.661477742563136,30.678453841196436,-0.030977089919399292,,30.95818079096045,13.87905535344609,True
