bootstrap_iteration,macro_mae_improvement_vs_baseline_pct
1,26.142877895004034
2,28.161686517776047
3,11.334249708040659
4,30.446967290869473
5,35.38057376582161
6,30.388396938393196
7,9.383894954825427
8,22.18304833279056
9,31.531076210486724
10,21.904810318859393
11,33.59151369103826
12,22.560575705659318
13,33.91391427980969
14,28.972410562538503
15,39.76621273448811
16,36.8761041177374
17,32.33552775814328
18,36.81540617320281
19,23.97889195003318
20,39.56578733146537
21,22.981697684856965
22,31.3944247040945
23,18.416164224357804
24,34.99611303100899
25,22.755560916137096
26,28.945574916703347
27,11.148187721716775
28,17.559989708435495
29,47.94102730394749
30,26.361589561346012
31,33.2177094451325
32,33.88055509339441
33,31.965043015769805
34,27.41862647030917
35,26.708491621720917
36,33.008362428306576
37,28.750910581181078
38,23.675919001958057
39,23.659494383621922
40,31.191623839194083
41,23.042856689551634
42,28.869786644053367
43,40.98683537190785
44,20.618272804585278
45,28.993751202429834
46,18.398965413121783
47,29.600552780044588
48,39.97397388291261
49,30.204243087139538
50,31.232117652096775
51,28.107610941350504
52,33.9204261278526
53,37.82238524740616
54,32.06517248402963
55,35.86720911947713
56,33.88714601985025
57,23.874293898115692
58,29.161306459940633
59,39.947608185452644
60,26.432605234937114
61,17.872118271937833
62,20.780768424540145
63,39.07664635373277
64,30.906379105560536
65,36.021604298922405
66,29.66505272535478
67,28.720536920433165
68,24.473557597791363
69,27.725370053896203
70,16.255330568442805
71,23.896869687092245
72,30.823001335558935
73,25.579012430026356
74,7.526501015495375
75,23.94039636409476
76,23.814026218763445
77,32.316115295547746
78,25.230446422314223
79,31.708756431683263
80,39.71269585782495
81,30.085126682801317
82,22.26121933036221
83,19.60862399773741
84,30.087820553208232
85,15.02544624588702
86,33.34523936687214
87,28.214257372023173
88,32.1410492752164
89,31.086527243168884
90,33.70160478917214
91,28.115072491191924
92,23.193334163646558
93,20.019645578672172
94,31.4956333547293
95,25.32194922095688
96,25.673568903902243
97,34.84339811340208
98,32.6104476869549
99,27.040864971697733
100,36.255355256160335
101,40.00225293931712
102,18.49293835037028
103,32.478304602377406
104,16.074889432786083
105,12.777797363539326
106,39.87951770203006
107,29.446433043758763
108,23.40758921735197
109,15.611478208020324
110,19.33832376195201
111,17.02661286964133
112,28.085876258494007
113,37.688932849923894
114,31.72528618380773
115,23.592466078388245
116,35.98283305018835
117,12.578856590384367
118,28.85769016816964
119,22.755124739012615
120,35.967451666674144
121,28.405256903357593
122,21.242837272890316
123,35.24460231191845
124,36.556781783024746
125,25.339706120986918
126,33.83692130937396
127,38.2890894014469
128,21.885233463269724
129,21.847889770899627
130,26.480922990101373
131,32.80614172209949
132,15.210772976849642
133,22.503695173806747
134,30.90184345991464
135,32.27847720263185
136,32.85189254962771
137,24.61157886884701
138,25.026081815373296
139,23.42405161334392
140,42.91966859471847
141,27.105310961702486
142,18.274550659658146
143,32.43399268093188
144,38.02270523508248
145,32.07591492900995
146,25.74815420940205
147,27.03647375372009
148,40.22491474493573
149,33.17294189521119
150,27.984463062293102
151,21.665241518417275
152,23.5702883933289
153,37.6285411262503
154,31.592594182260747
155,27.997464401986456
156,28.177600765577385
157,31.709762612038823
158,23.806334751857623
159,30.77048619822402
160,32.2121485155389
161,31.226329321762805
162,41.081867101643915
163,35.57840131975926
164,40.96020425297574
165,33.70724349752665
166,21.81494740068296
167,39.70177601932124
168,40.07507850867173
169,34.539000576435996
170,34.607035455434854
171,26.296287909963922
172,40.16842297811987
173,31.384877678073366
174,29.740724695973967
175,39.35305753722861
176,29.756922487571604
177,26.2873543671209
178,14.791156796608423
179,36.55534060388129
180,28.882441063490266
181,21.58152682309609
182,29.67649198616175
183,32.4710194307134
184,13.78460376031965
185,34.34548269787588
186,23.681382363158168
187,29.6427848681753
188,23.0357092061356
189,44.989473071285815
190,15.437855545633427
191,29.239502878465107
192,19.039677993793006
193,23.86925089321914
194,31.18314726548812
195,23.47555100324611
196,45.76197405718901
197,36.28860078782493
198,30.27248048267303
199,19.35614350085996
200,30.17876162843622
201,37.69819316489476
202,36.6933444327331
203,27.95199908606062
204,29.306714437694215
205,35.54096903523425
206,34.43831017719839
207,26.052246757904868
208,23.02327564464123
209,29.735869464181647
210,26.613715137423135
211,12.336805132572128
212,22.288731334791397
213,27.586889489858414
214,33.81120337907637
215,27.775922897202268
216,36.549709178661985
217,16.812146514953074
218,24.67498485372042
219,29.978590640828013
220,27.44788221001767
221,15.462996623684692
222,21.923232429634
223,20.77368425907496
224,29.789272361307138
225,41.06684259816542
226,36.315594647674295
227,24.287642674737313
228,33.416692574327456
229,16.018443442396933
230,21.369930523664856
231,29.523604393517125
232,25.501281686512755
233,32.67819849516438
234,32.85376294952155
235,30.143700428363324
236,37.82287079719891
237,37.72084979523287
238,38.718094763751836
239,25.632861278080544
240,32.86965196543979
241,39.75024867812648
242,36.75271255314008
243,30.523421112961444
244,31.124992028487956
245,25.29124547546673
246,34.768442701045785
247,33.751283520782586
248,33.45048762187407
249,25.773663073775882
250,29.089026778624483
251,31.627757940269802
252,29.859338557828345
253,32.41366290785211
254,25.613548975985438
255,44.698580971168234
256,26.016833712580514
257,23.80225151938888
258,29.45819056418926
259,26.659322938552823
260,37.703260300090975
261,26.85596882033438
