lnp_id,paper_doi,paper_title,lipid_molar_ratio,ionizable_lipid,helper_lipid,sterol_lipid,peg_lipid,mol_pct_ionizable,mol_pct_helper,mol_pct_sterol,mol_pct_peg,ratio_sum,ratio_sum_deviation_from_100,parse_method,parse_confidence,ratio_values_complete,ratio_values_nonnegative,ratio_values_at_most_100,ratio_sum_near_100,ratio_model_eligible,ratio_review_needed
19,https://doi.org/10.1038/s41467-024-50619-z,AGILE platform: a deep learning powered approach to accelerate LNP development for mRNA delivery,35:16:46.5:2.5,Custom lipid,DOPE,cholesterol,DMG-PEG2000,35.0,16.0,46.5,2.5,100.0,0.0,doi_lookup,high,True,True,True,True,True,False
20,https://doi.org/10.1038/s41467-024-50619-z,AGILE platform: a deep learning powered approach to accelerate LNP development for mRNA delivery,35:16:46.5:2.5,Custom lipid,DOPE,cholesterol,DMG-PEG2000,35.0,16.0,46.5,2.5,100.0,0.0,doi_lookup,high,True,True,True,True,True,False
21,https://doi.org/10.1038/s41467-024-50619-z,AGILE platform: a deep learning powered approach to accelerate LNP development for mRNA delivery,35:16:46.5:2.5,Custom lipid,DOPE,cholesterol,DMG-PEG2000,35.0,16.0,46.5,2.5,100.0,0.0,doi_lookup,high,True,True,True,True,True,False
22,https://doi.org/10.1038/s41467-024-50619-z,AGILE platform: a deep learning powered approach to accelerate LNP development for mRNA delivery,35:16:46.5:2.5,Custom lipid,DOPE,cholesterol,DMG-PEG2000,35.0,16.0,46.5,2.5,100.0,0.0,doi_lookup,high,True,True,True,True,True,False
23,https://doi.org/10.1038/s41467-024-50619-z,AGILE platform: a deep learning powered approach to accelerate LNP development for mRNA delivery,35:16:46.5:2.5,Custom lipid,DOPE,cholesterol,DMG-PEG2000,35.0,16.0,46.5,2.5,100.0,0.0,doi_lookup,high,True,True,True,True,True,False
24,https://doi.org/10.1038/s41467-024-50619-z,AGILE platform: a deep learning powered approach to accelerate LNP development for mRNA delivery,35:16:46.5:2.5,Custom lipid,DOPE,cholesterol,DMG-PEG2000,35.0,16.0,46.5,2.5,100.0,0.0,doi_lookup,high,True,True,True,True,True,False
25,https://doi.org/10.1038/s41467-024-50619-z,AGILE platform: a deep learning powered approach to accelerate LNP development for mRNA delivery,35:16:46.5:2.5,Custom lipid,DOPE,cholesterol,DMG-PEG2000,35.0,16.0,46.5,2.5,100.0,0.0,doi_lookup,high,True,True,True,True,True,False
26,https://doi.org/10.1038/s41467-024-50619-z,AGILE platform: a deep learning powered approach to accelerate LNP development for mRNA delivery,35:16:46.5:2.5,Custom lipid,DOPE,cholesterol,DMG-PEG2000,35.0,16.0,46.5,2.5,100.0,0.0,doi_lookup,high,True,True,True,True,True,False
27,https://doi.org/10.1038/s41467-024-50619-z,AGILE platform: a deep learning powered approach to accelerate LNP development for mRNA delivery,35:16:46.5:2.5,Custom lipid,DOPE,cholesterol,DMG-PEG2000,35.0,16.0,46.5,2.5,100.0,0.0,doi_lookup,high,True,True,True,True,True,False
28,https://doi.org/10.1038/s41467-024-50619-z,AGILE platform: a deep learning powered approach to accelerate LNP development for mRNA delivery,35:16:46.5:2.5,Custom lipid,DOPE,cholesterol,DMG-PEG2000,35.0,16.0,46.5,2.5,100.0,0.0,doi_lookup,high,True,True,True,True,True,False
29,https://doi.org/10.1038/s41467-024-50619-z,AGILE platform: a deep learning powered approach to accelerate LNP development for mRNA delivery,35:16:46.5:2.5,Custom lipid,DOPE,cholesterol,DMG-PEG2000,35.0,16.0,46.5,2.5,100.0,0.0,doi_lookup,high,True,True,True,True,True,False
30,https://doi.org/10.1038/s41467-024-50619-z,AGILE platform: a deep learning powered approach to accelerate LNP development for mRNA delivery,35:16:46.5:2.5,Custom lipid,DOPE,cholesterol,DMG-PEG2000,35.0,16.0,46.5,2.5,100.0,0.0,doi_lookup,high,True,True,True,True,True,False
