mw,logp,tpsa,num_rotatable_bonds,num_hbd,num_hba,num_ester_bonds,num_tertiary_amines,tail_length_carbons,num_unsaturated_bonds,num_branch_points,num_rings,fraction_csp3,heavy_atom_count,ionizable_lipid_smiles
716.1929999999996,11.771599999999989,70.67,35.0,2.0,5.0,1.0,1.0,10.0,4.0,5.0,1.0,0.8666666666666667,51.0,CCCCCCC/C=C/C(=O)OCCCC(NC1CCN(C(C)C)CC1)C(=O)NCCCCCCCCCC/C=C/CCCCCCCCCC
664.1169999999998,10.515099999999995,70.67,32.0,2.0,5.0,1.0,1.0,9.0,2.0,6.0,1.0,0.9512195121951219,47.0,CCCCCC(C)CCC(=O)OCCCC(NC1CCN(C(C)C)CC1)C(=O)NCCCCCCCCCCCCCCCCCC
706.1539999999998,10.310899999999997,79.9,36.0,2.0,6.0,1.0,1.0,9.0,3.0,4.0,1.0,0.9069767441860465,50.0,CCCCCC(C)CCC(=O)OCCC(NCCCN1CCOCC1)C(=O)NCCCCCCCCCC/C=C/CCCCCCCCCC
746.2189999999996,11.40129999999999,79.9,39.0,2.0,6.0,1.0,1.0,12.0,4.0,3.0,1.0,0.8695652173913043,53.0,CCCCCCCCC/C=C/C(=O)OCCCC(NCCCN1CCOCC1)C(=O)NCCCCCCCCCC/C=C/CCCCCCCCCC
666.0889999999998,9.364600000000001,79.9,34.0,2.0,6.0,1.0,1.0,9.0,2.0,4.0,1.0,0.95,47.0,CCCCCC(C)CCC(=O)OCCCC(NCCCN1CCOCC1)C(=O)NCCCCCCCCCCCCCCCCCC
642.1100000000001,13.647199999999975,29.54,35.0,0.0,3.0,1.0,1.0,37.0,5.0,2.0,0.0,0.7906976744186046,46.0,CCCCC/C=C\C/C=C\CCCCCCCCC(OC(=O)CCCN(C)C)CCCCCCCC/C=C\C/C=C\CCCCC
663.1049999999999,12.222599999999986,52.6,35.0,0.0,4.0,2.0,0.0,18.0,4.0,3.0,0.0,0.8571428571428571,47.0,CCCCCCCC/C=C\CCCCCCCC(=O)OCC(C[N+](C)(C)C)OC(=O)CCCCCCC/C=C\CCCCCCCC
1292.2449999999992,19.154299999999992,143.37,74.0,6.0,11.0,0.0,5.0,2.0,0.0,6.0,1.0,1.0,91.0,NCCN1CCN(CCN(CC(O)CCCCCCCCCCCC)CC(O)CCCCCCCCCCCC)CC1CN(CC(O)CCCCCCCCCCCC)CN(CC(O)CCCCCCCCCCCC)CC(O)CCCCCCCCCCCC
557.9920000000004,11.907699999999984,23.47,32.0,1.0,2.0,0.0,1.0,18.0,4.0,0.0,0.0,0.7894736842105263,40.0,CCCCC/C=C\C/C=C\CCCCCCCCN(CCCCCCCC/C=C\C/C=C\CCCCC)CCO
597.9660000000003,9.5495,76.07000000000001,34.0,1.0,6.0,2.0,1.0,9.0,2.0,2.0,0.0,0.9444444444444444,42.0,CCCCCCCCCOC(=O)CCCCCCCN(CCCCCCCC(=O)OCCCCCCCCC)CCO
577.9790000000004,10.728599999999993,49.769999999999996,33.0,1.0,4.0,1.0,1.0,9.0,3.0,1.0,0.0,0.8648648648648649,41.0,CCCCCCCCCOC(=O)CCCCCCCN(CCCCCCCC/C=C\C/C=C\CCCCC)CCO
