fold,n_train,n_test,n_test_studies,mae,rmse,r2,spearman_rho
1,203,95,1,39.32229634479735,45.486697119296785,-1.9653823031330875,0.22595061982248518
2,247,51,6,27.891773553026297,40.260609211031124,-0.12416204500815464,0.11444915632033313
3,247,51,7,24.80699832734626,29.155759060477276,-0.03573465744652049,0.27031857056737585
4,247,51,7,43.062774134230295,50.14005133469065,-0.26963484790984427,-0.29662177071964757
5,248,50,7,25.83103692444531,38.4080344085853,0.1266983464937833,0.4033053606796189
