lnp_id,paper_doi,lipid_molar_ratio,ionizable_lipid,helper_lipid,sterol_lipid,peg_lipid,mol_pct_ionizable,mol_pct_helper,mol_pct_sterol,mol_pct_peg,parse_method,parse_confidence
52,10.1126/sciadv.abf4398,26.5:1.5:52:20,Custom lipid,DOPE,cholesterol,C16-Ceramide-PEG2000,,,,,ambiguous_doi,excluded
53,10.1126/sciadv.abf4398,26.5:1.5:52:20,246C10,DOPE,cholesterol,C16-Ceramide-PEG2000,,,,,ambiguous_doi,excluded
54,10.1126/sciadv.abf4398,26.5:1.0:52:20,246C10,DOPE,cholesterol,C16-Ceramide-PEG2000,,,,,ambiguous_doi,excluded
55,10.1126/sciadv.abf4398,26.5:1.5:51.5:20,246C10,DOPE,cholesterol,C16-Ceramide-PEG2000,,,,,ambiguous_doi,excluded
56,10.1126/sciadv.abf4398,26.5:3.0:50.5:20,246C10,DOPE,cholesterol,C16-Ceramide-PEG2000,,,,,ambiguous_doi,excluded
57,10.1126/sciadv.abf4398,26.5:3.0:50.5:20,246C10,DOPE,cholesterol,C16-Ceramide-PEG2000,,,,,ambiguous_doi,excluded
58,10.1126/sciadv.abf4398,26.5:3.0:50.5:20,246C10,DOPE,cholesterol,C16-Ceramide-PEG2000,,,,,ambiguous_doi,excluded
63,https://doi.org/10.1016/j.omtn.2019.01.013,50:10:38.5:1.5,DLin-MC3-DMA,DSPC,cholesterol,PEG-lipid,50.0,10.0,38.5,1.5,doi_lookup,high
64,https://doi.org/10.1016/j.omtn.2019.01.013,50:10:38.5:1.5,DOTAP,DSPC,cholesterol,PEG-lipid,50.0,10.0,38.5,1.5,doi_lookup,high
65,https://doi.org/10.1016/j.omtn.2019.01.013,50:10:38.5:1.5,Custom lipid,DSPC,cholesterol,PEG-lipid,50.0,10.0,38.5,1.5,doi_lookup,high
66,https://doi.org/10.1016/j.omtn.2019.01.013,50:10:38.5:1.5,Custom lipid,DSPC,cholesterol,PEG-lipid,50.0,10.0,38.5,1.5,doi_lookup,high
67,https://doi.org/10.1016/j.omtn.2019.01.013,50:10:38.5:1.5,Custom lipid,DSPC,cholesterol,PEG-lipid,50.0,10.0,38.5,1.5,doi_lookup,high
68,https://doi.org/10.1016/j.omtn.2019.01.013,50:10:38.5:1.5,Custom lipid,DSPC,cholesterol,PEG-lipid,50.0,10.0,38.5,1.5,doi_lookup,high
69,https://doi.org/10.1016/j.omtn.2019.01.013,50:10:38.5:1.5,Custom lipid,DSPC,cholesterol,PEG-lipid,50.0,10.0,38.5,1.5,doi_lookup,high
109,10.1021/acs.nanolett.5b02497,50:1.5:38.5:10,C12-200,DSPC,cholesterol,C14-PEG2000,50.0,1.5,38.5,10.0,doi_lookup,high
110,10.1021/acs.nanolett.5b02497,35:2.5:46.5:16,C12-200,DOPE,cholesterol,C14-PEG2000,35.0,2.5,46.5,16.0,doi_lookup,high
113,https://doi.org/10.1016/j.ymthe.2018.03.010,50:10:38.5:1.5,Custom lipid,DSPC,cholesterol,PEG-lipid,50.0,10.0,38.5,1.5,doi_lookup,high
114,https://doi.org/10.1016/j.ymthe.2018.03.010,50:10:38.5:1.5,Custom lipid,DSPC,cholesterol,PEG-lipid,50.0,10.0,38.5,1.5,doi_lookup,high
115,https://doi.org/10.1016/j.ymthe.2018.03.010,50:10:38.5:1.5,Custom lipid,DSPC,cholesterol,PEG-lipid,50.0,10.0,38.5,1.5,doi_lookup,high
116,https://doi.org/10.1016/j.ymthe.2018.03.010,50:10:38.5:1.5,Custom lipid,DSPC,cholesterol,PEG-lipid,50.0,10.0,38.5,1.5,doi_lookup,high
117,https://doi.org/10.1016/j.ymthe.2018.03.010,50:10:38.5:1.5,Heptadecan-9-yl 8-((2-hydroxyethyl)(8-(nonyloxy)-8-oxooctyl)amino)octanoate,DSPC,cholesterol,PEG-lipid,50.0,10.0,38.5,1.5,doi_lookup,high
118,https://doi.org/10.1016/j.ymthe.2018.03.010,50:10:38.5:1.5,Custom lipid,DSPC,cholesterol,PEG-lipid,50.0,10.0,38.5,1.5,doi_lookup,high
119,https://doi.org/10.1016/j.ymthe.2018.03.010,50:10:38.5:1.5,Custom lipid,DSPC,cholesterol,PEG-lipid,50.0,10.0,38.5,1.5,doi_lookup,high
120,https://doi.org/10.1016/j.ymthe.2018.03.010,50:10:38.5:1.5,SM-102,DSPC,cholesterol,PEG-lipid,50.0,10.0,38.5,1.5,doi_lookup,high
121,https://doi.org/10.1016/j.ymthe.2018.03.010,50:10:38.5:1.5,Custom lipid,DSPC,cholesterol,PEG-lipid,50.0,10.0,38.5,1.5,doi_lookup,high
122,https://doi.org/10.1016/j.ymthe.2018.03.010,50:10:38.5:1.5,Custom lipid,DSPC,cholesterol,PEG-lipid,50.0,10.0,38.5,1.5,doi_lookup,high
123,https://doi.org/10.1016/j.ymthe.2018.03.010,50:10:38.5:1.5,DLin-MC3-DMA,DSPC,cholesterol,PEG-lipid,50.0,10.0,38.5,1.5,doi_lookup,high
174,10.1126/sciadv.abc2315,20:0.75:40:30,Custom lipid,DOPE,cholesterol,DMG-PEG2000,,,,,ambiguous_doi,excluded
175,10.1126/sciadv.abc2315,20:0.75:40:30,Custom lipid,DOPE,cholesterol,DMG-PEG2000,,,,,ambiguous_doi,excluded
176,10.1126/sciadv.abc2315,20:0.75:40:30,Custom lipid,DOPE,cholesterol,DMG-PEG2000,,,,,ambiguous_doi,excluded
177,10.1126/sciadv.abc2315,20:0.75:40:30,Custom lipid,DOPE,cholesterol,DMG-PEG2000,,,,,ambiguous_doi,excluded
178,10.1126/sciadv.abc2315,20:0.75:40:30,Custom lipid,DOPE,cholesterol,DMG-PEG2000,,,,,ambiguous_doi,excluded
179,10.1126/sciadv.abc2315,20:0.75:40:30,Custom lipid,DOPE,cholesterol,DMG-PEG2000,,,,,ambiguous_doi,excluded
180,10.1126/sciadv.abc2315,20:0.75:40:30,Custom lipid,DOPE,cholesterol,DMG-PEG2000,,,,,ambiguous_doi,excluded
181,10.1126/sciadv.abc2315,20:0.75:40:30,Custom lipid,DOPE,cholesterol,DMG-PEG2000,,,,,ambiguous_doi,excluded
182,10.1126/sciadv.abc2315,20:0.75:40:30,Custom lipid,DOPE,cholesterol,DMG-PEG2000,,,,,ambiguous_doi,excluded
183,10.1126/sciadv.abc2315,20:0.75:40:30,Custom lipid,DOPE,cholesterol,DMG-PEG2000,,,,,ambiguous_doi,excluded
184,10.1126/sciadv.abc2315,20:0.75:40:30,Custom lipid,DOPE,cholesterol,DMG-PEG2000,,,,,ambiguous_doi,excluded
198,10.1002/adma.201606944,35:16:46.5:2.5,OF-Deg-Lin,DOPE,cholesterol,C14-PEG2000,35.0,16.0,46.5,2.5,doi_lookup,high
199,10.1002/adma.201606944,35:16:46.5:2.5,OF-Deg-Lin,DOPE,cholesterol,C14-PEG2000,35.0,16.0,46.5,2.5,doi_lookup,high
200,10.1002/adma.201606944,35:16:46.5:2.5,OF-02,DOPE,cholesterol,C14-PEG2000,35.0,16.0,46.5,2.5,doi_lookup,high
201,10.1002/adma.201606944,35:16:46.5:2.5,OF-02,DOPE,cholesterol,C14-PEG2000,35.0,16.0,46.5,2.5,doi_lookup,high
202,https://doi.org/10.1038/s41467-024-45422-9,35:2.5:46.5:16,Custom lipid,DOPE,cholesterol,C14-PEG2000,35.0,16.0,46.5,2.5,doi_lookup,high
203,https://doi.org/10.1038/s41467-024-45422-9,35:2.5:46.5:16,Custom lipid,DOPE,cholesterol,C14-PEG2000,35.0,16.0,46.5,2.5,doi_lookup,high
204,https://doi.org/10.1038/s41467-024-45422-9,35:2.5:46.5:16,Custom lipid,DOPE,cholesterol,C14-PEG2000,35.0,16.0,46.5,2.5,doi_lookup,high
205,https://doi.org/10.1038/s41467-024-45422-9,35:2.5:46.5:16,Custom lipid,DOPE,cholesterol,C14-PEG2000,35.0,16.0,46.5,2.5,doi_lookup,high
206,https://doi.org/10.1038/s41467-024-45422-9,35:2.5:46.5:16,Custom lipid,DOPE,cholesterol,C14-PEG2000,35.0,16.0,46.5,2.5,doi_lookup,high
207,https://doi.org/10.1038/s41467-024-45422-9,35:2.5:46.5:16,Custom lipid,DOPE,cholesterol,C14-PEG2000,35.0,16.0,46.5,2.5,doi_lookup,high
208,https://doi.org/10.1038/s41467-024-45422-9,35:2.5:46.5:16,Custom lipid,DOPE,cholesterol,C14-PEG2000,35.0,16.0,46.5,2.5,doi_lookup,high
209,https://doi.org/10.1038/s41467-024-45422-9,35:2.5:46.5:16,Custom lipid,DOPE,cholesterol,C14-PEG2000,35.0,16.0,46.5,2.5,doi_lookup,high
210,https://doi.org/10.1038/s41467-024-45422-9,35:2.5:46.5:16,Custom lipid,DOPE,cholesterol,C14-PEG2000,35.0,16.0,46.5,2.5,doi_lookup,high
211,https://doi.org/10.1038/s41467-024-45422-9,35:2.5:46.5:16,Custom lipid,DOPE,cholesterol,C14-PEG2000,35.0,16.0,46.5,2.5,doi_lookup,high
212,https://doi.org/10.1038/s41467-024-45422-9,35:2.5:46.5:16,Custom lipid,DOPE,cholesterol,C14-PEG2000,35.0,16.0,46.5,2.5,doi_lookup,high
213,https://doi.org/10.1038/s41467-024-45422-9,35:2.5:46.5:16,Custom lipid,DOPE,cholesterol,C14-PEG2000,35.0,16.0,46.5,2.5,doi_lookup,high
214,https://doi.org/10.1038/s41467-024-45422-9,35:2.5:46.5:16,Custom lipid,DOPE,cholesterol,C14-PEG2000,35.0,16.0,46.5,2.5,doi_lookup,high
215,https://doi.org/10.1038/s41467-024-45422-9,35:2.5:46.5:16,Custom lipid,DOPE,cholesterol,C14-PEG2000,35.0,16.0,46.5,2.5,doi_lookup,high
216,https://doi.org/10.1038/s41467-024-45422-9,35:2.5:46.5:16,Custom lipid,DOPE,cholesterol,C14-PEG2000,35.0,16.0,46.5,2.5,doi_lookup,high
217,https://doi.org/10.1038/s41467-024-45422-9,35:2.5:46.5:16,Custom lipid,DOPE,cholesterol,C14-PEG2000,35.0,16.0,46.5,2.5,doi_lookup,high
218,https://doi.org/10.1038/s41467-024-45422-9,35:2.5:46.5:16,Custom lipid,DOPE,cholesterol,C14-PEG2000,35.0,16.0,46.5,2.5,doi_lookup,high
219,https://doi.org/10.1038/s41467-024-45422-9,35:2.5:46.5:16,Custom lipid,DOPE,cholesterol,C14-PEG2000,35.0,16.0,46.5,2.5,doi_lookup,high
220,https://doi.org/10.1038/s41467-024-45422-9,35:2.5:46.5:16,Custom lipid,DOPE,cholesterol,C14-PEG2000,35.0,16.0,46.5,2.5,doi_lookup,high
221,https://doi.org/10.1038/s41467-024-45422-9,35:2.5:46.5:16,Custom lipid,DOPE,cholesterol,C14-PEG2000,35.0,16.0,46.5,2.5,doi_lookup,high
