model_id,model_label,n_formulations,n_studies,pooled_mae,pooled_rmse,pooled_r2,pooled_spearman_rho,macro_mean_study_mae,median_study_mae,studies_beating_baseline,total_studies,pooled_mae_improvement_vs_baseline_pct
baseline_mean,Mean baseline,298,28,45.6648116331766,53.041453407119015,-0.3503238304450409,-0.7564715254940524,44.52882049551425,43.26443312630812,0,28,0.0
rf_composition,RF: composition,298,28,39.01119341547629,47.4279635523195,-0.07963276306962741,0.2755123100476701,43.601651984942315,41.41570044185469,14,28,14.570558773237751
rf_descriptors,RF: descriptors,298,28,34.58432893369792,43.55578601736619,0.08946045610856457,0.4210255173020115,32.01557611358969,26.199136008783,22,28,24.26481639404911
rf_combined,RF: combined,298,28,33.34549222349201,42.15747204184148,0.1469858766410692,0.51669349073642,31.64356015872065,27.690416079374394,21,28,26.977707712111314
