lnp_id,paper_doi,paper_title,transfection_pctile,size_mean,pdi_mean,ee_mean,category_primary,4D_penalty_50_150,4D_penalty_60_150_primary,4D_penalty_60_200,3D_in_band_50_150,3D_in_band_60_150_primary,3D_in_band_60_200,n_scenarios_selected,selected_in_primary_4d,selected_in_primary_in_band_3d
986,https://doi.org/10.1038/s41587-019-0247-3,Delivery of mRNA vaccines with heterocyclic lipids increases anti-tumor efficacy by STING-mediated immune cell activation,0.627906976744186,108.6,0.2,45.5,Potent only,False,False,False,False,False,False,0,False,False
574,10.1002/jbm.a.37705,Influence of ionizable lipid tail length on lipid nanoparticle delivery of mRNA of varying length,0.625,105.0,0.3,65.0,Potent only,False,False,False,False,False,False,0,False,False
120,https://doi.org/10.1016/j.ymthe.2018.03.010,A Novel Amino Lipid Series for mRNA Delivery: Improved Endosomal Escape and Sustained Pharmacology and Safety in Non-human Primates,0.6,85.8,0.1,95.8,Potent + Developable,False,False,False,False,False,False,0,False,False
512,https://doi.org/10.34133/bmr.0017,Development of Lipid Nanoparticle Formulation for the Repeated Administration of mRNA Therapeutics,0.6,68.29,0.11,91.1,Potent + Developable,False,False,False,False,False,False,0,False,False
932,https://doi.org/10.1248/cpb.c24-00089,Understanding the Manufacturing Process of Lipid Nanoparticles for mRNA Delivery Using Machine Learning,0.6,213.5,0.22,66.5,Potent only,False,False,False,False,False,False,0,False,False
781,10.1002/btm2.10580,Optimization of ionizable lipids for aerosolizable mRNA lipid nanoparticles,0.5833333333333334,123.3,0.153,87.2,Potent + Developable,False,False,False,False,False,False,0,False,False
976,https://doi.org/10.1038/s41587-019-0247-3,Delivery of mRNA vaccines with heterocyclic lipids increases anti-tumor efficacy by STING-mediated immune cell activation,0.5813953488372093,91.8,0.2,70.2,Potent only,False,False,False,False,False,False,0,False,False
970,https://doi.org/10.1038/s41587-019-0247-3,Delivery of mRNA vaccines with heterocyclic lipids increases anti-tumor efficacy by STING-mediated immune cell activation,0.5813953488372093,94.0,0.2,68.1,Potent only,False,False,False,False,False,False,0,False,False
982,https://doi.org/10.1038/s41587-019-0247-3,Delivery of mRNA vaccines with heterocyclic lipids increases anti-tumor efficacy by STING-mediated immune cell activation,0.5813953488372093,119.8,0.3,79.0,Potent only,False,False,False,False,False,False,0,False,False
622,10.1021/jacs.2c12893,Ionizable Lipid Nanoparticles for In Vivo mRNA Delivery to the Placenta during Pregnancy,0.5555555555555556,106.97,0.1,94.84,Potent + Developable,False,False,False,False,False,False,0,False,False
624,10.1021/jacs.2c12893,Ionizable Lipid Nanoparticles for In Vivo mRNA Delivery to the Placenta during Pregnancy,0.5555555555555556,97.96,0.11,88.11,Potent + Developable,False,False,False,False,False,False,0,False,False
629,10.1021/jacs.2c12893,Ionizable Lipid Nanoparticles for In Vivo mRNA Delivery to the Placenta during Pregnancy,0.5555555555555556,94.61,0.12,84.45,Potent + Developable,False,False,False,False,False,False,0,False,False
