Index,LNP_ID,Experiment_ID,Formulation_ID,IL_name,IL_SMILES,IL_protonated_SMILES,IL_head_name,IL_head_SMILES,IL_linker_name,IL_linker_SMILES,IL_tail1_name,IL_tail1_SMILES,IL_tail2_name,IL_tail2_SMILES,IL_tail3_name,IL_tail3_SMILES,IL_tail4_name,IL_tail4_SMILES,IL_molratio,IL_to_nucleicacid_massratio,IL_to_nucleicacid_chargeratio,HL_name,HL_SMILES,HL_molratio,CHL_name,CHL_SMILES,CHL_molratio,PEG_name,PEG_SMILES,PEG_molratio,fifthcomponent_name,fifthcomponent_SMILES,fifthcomponent_molratio,Aqueous_buffer,Dialysis_buffer,Mixing_method,Model,Model_type,Model_target,Route_of_administration,Cargo,Cargo_type,Dose_ug_nucleicacid,Experiment_method,Experiment_batching,Experiment_value,Publication_link,Publication_PMID,Heavy.Atoms,Rings,Aromatic.Rings,Rotatable.Bonds,van.der.Waals.Molecular.Volume,Topological.Polar.Surface.Area,Hydrogen.Bond.Donors,Hydrogen.Bond.Acceptors,LogP,Molar.Refractivity,Fraction.sp3.Carbons,sp3.Carbons,Nitrogen.Count,Molecular.Weight,has_ester,has_carbonate,has_disulfide,Experiment_value_num
3548,LNP_0003548,KZ_2016,KZ_2016_F1216,6A3-SN2,CCCCNCCSCC(C)C(=O)OCCOC(=O)CCN(CCC(=O)OCCOC(=O)C(C)CSCCNCCCC)CCN(CCN(CCC(=O)OCCOC(=O)C(C)CSCCNCCCC)CCC(=O)OCCOC(=O)C(C)CSCCNCCCC)CCN(CCC(=O)OCCOC(=O)C(C)CSCCNCCCC)CCC(=O)OCCOC(=O)C(C)CSCCNCCCC,CCCCNCCSCC(C)C(=O)OCCOC(=O)CCN(CCC(=O)OCCOC(=O)C(C)CSCCNCCCC)CC[N+](CCN(CCC(=O)OCCOC(=O)C(C)CSCCNCCCC)CCC(=O)OCCOC(=O)C(C)CSCCNCCCC)(CCN(CCC(=O)OCCOC(=O)C(C)CSCCNCCCC)CCC(=O)OCCOC(=O)C(C)CSCCNCCCC)[H],6A3,C(CN(CCN)CCN)N,,,SN2,CCCCNCCS,,,,,,,50.0,15.42063158,,DSPC,CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCCCC,38.0,Cholesterol,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,10.0,Unknown,,2.0,,,0.0,citrate,,handmixed,in_vitro,HeLa,in_vitro,in_vitro,siRNA,FLuc,0.1,luminescence_discretized_normalized,individual,-0.648408662,https://www.pnas.org/doi/10.1073/pnas.1520756113,26729861.0,136,0,0,99,2049.149623,400.74,6,40,9.6074,550.5702,0.875,6,10,2050.944,True,False,False,-0.648408662
3549,LNP_0003549,KZ_2016,KZ_2016_F1217,1H1-SN2,CCCCCCCCCCCCN(C)CCC(=O)OCCOC(=O)C(C)CSCCNCCCC,CCCCCCCCCCCC[N+](C)(CCC(=O)OCCOC(=O)C(C)CSCCNCCCC)[H],1H1,CCCCCCCCCCCCNC,,,SN2,CCCCNCCS,,,,,,,50.0,3.885962406,,DSPC,CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCCCC,38.0,Cholesterol,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,10.0,Unknown,,2.0,,,0.0,citrate,,handmixed,in_vitro,HeLa,in_vitro,in_vitro,siRNA,FLuc,0.1,luminescence_discretized_normalized,individual,-0.648408662,https://www.pnas.org/doi/10.1073/pnas.1520756113,26729861.0,35,0,0,26,516.3960793,67.87,1,7,6.0746,150.1427,0.928571429,1,2,516.833,True,False,False,-0.648408662
3550,LNP_0003550,KZ_2016,KZ_2016_F1218,1H2-SN2,CCCCCCCCN(CCCCCCCC)CCC(=O)OCCOC(=O)C(C)CSCCNCCCC,CCCCCCCC[N+](CCCCCCCC)(CCC(=O)OCCOC(=O)C(C)CSCCNCCCC)[H],1H2,N(CCCCCCCC)CCCCCCCC,,,SN2,CCCCNCCS,,,,,,,50.0,4.202360902,,DSPC,CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCCCC,38.0,Cholesterol,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,10.0,Unknown,,2.0,,,0.0,citrate,,handmixed,in_vitro,HeLa,in_vitro,in_vitro,siRNA,FLuc,0.1,luminescence_discretized_normalized,individual,-0.648408662,https://www.pnas.org/doi/10.1073/pnas.1520756113,26729861.0,38,0,0,29,558.4430295,67.87,1,7,7.2449,163.9937,0.935483871,1,2,558.914,True,False,False,-0.648408662
3551,LNP_0003551,KZ_2016,KZ_2016_F1219,1H3-SN2,CCCCCCCCCCN(CCCCCCCCCC)CCC(=O)OCCOC(=O)C(C)CSCCNCCCC,CCCCCCCCCC[N+](CCCCCCCCCC)(CCC(=O)OCCOC(=O)C(C)CSCCNCCCC)[H],1H3,N(CCCCCCCCCC)CCCCCCCCCC,,,SN2,CCCCNCCS,,,,,,,50.0,4.624225564,,DSPC,CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCCCC,38.0,Cholesterol,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,10.0,Unknown,,2.0,,,0.0,citrate,,handmixed,in_vitro,HeLa,in_vitro,in_vitro,siRNA,FLuc,0.1,luminescence_discretized_normalized,individual,-0.648408662,https://www.pnas.org/doi/10.1073/pnas.1520756113,26729861.0,42,0,0,33,614.5056297,67.87,1,7,8.8053,182.4617,0.942857143,1,2,615.022,True,False,False,-0.648408662
3552,LNP_0003552,KZ_2016,KZ_2016_F1220,2H1-SN2,CCCCCCCCN(CCC(=O)OCCOC(=O)C(C)CSCCNCCCC)CCC(=O)OCCOC(=O)C(C)CSCCNCCCC,CCCCCCCC[N+](CCC(=O)OCCOC(=O)C(C)CSCCNCCCC)(CCC(=O)OCCOC(=O)C(C)CSCCNCCCC)[H],2H1,NCCCCCCCC,,,SN2,CCCCNCCS,,,,,,,50.0,5.745481203,,DSPC,CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCCCC,38.0,Cholesterol,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,10.0,Unknown,,2.0,,,0.0,citrate,,handmixed,in_vitro,HeLa,in_vitro,in_vitro,siRNA,FLuc,0.1,luminescence_discretized_normalized,individual,-0.648408662,https://www.pnas.org/doi/10.1073/pnas.1520756113,26729861.0,51,0,0,37,763.4839083,132.5,2,13,6.1199,211.4194,0.894736842,2,3,764.149,True,False,False,-0.648408662
3553,LNP_0003553,KZ_2016,KZ_2016_F1221,2H3-SN2,CCCCCCCCCCCCN(CCC(=O)OCCOC(=O)C(C)CSCCNCCCC)CCC(=O)OCCOC(=O)C(C)CSCCNCCCC,CCCCCCCCCCCC[N+](CCC(=O)OCCOC(=O)C(C)CSCCNCCCC)(CCC(=O)OCCOC(=O)C(C)CSCCNCCCC)[H],2H3,NCCCCCCCCCCCC,,,SN2,CCCCNCCS,,,,,,,50.0,6.167345865,,DSPC,CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCCCC,38.0,Cholesterol,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,10.0,Unknown,,2.0,,,0.0,citrate,,handmixed,in_vitro,HeLa,in_vitro,in_vitro,siRNA,FLuc,0.1,luminescence_discretized_normalized,individual,-0.648408662,https://www.pnas.org/doi/10.1073/pnas.1520756113,26729861.0,55,0,0,41,819.5465086,132.5,2,13,7.6803,229.8874,0.904761905,2,3,820.257,True,False,False,-0.648408662
3554,LNP_0003554,KZ_2016,KZ_2016_F1222,1A1-SN3,CCN(CC)CCSCC(C)C(=O)OCCOC(=O)CCN1CCN(C)CC1,CCN(CC)CCSCC(C)C(=O)OCCOC(=O)CC[N+]1([H])CCN(C)CC1,1A1,CN1CCNCC1,,,SN3,CCN(CC)CCS,,,,,,,50.0,3.139969925,,DSPC,CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCCCC,38.0,Cholesterol,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,10.0,Unknown,,2.0,,,0.0,citrate,,handmixed,in_vitro,HeLa,in_vitro,in_vitro,siRNA,FLuc,0.1,luminescence_discretized_normalized,individual,-0.648408662,https://www.pnas.org/doi/10.1073/pnas.1520756113,26729861.0,28,1,0,14,417.2661277,62.32,0,8,1.4214,114.749,0.9,1,3,417.616,True,False,False,-0.648408662
3555,LNP_0003555,KZ_2016,KZ_2016_F1223,1A2-SN3,CCN(CC)CCSCC(C)C(=O)OCCOC(=O)CCN1CCN(CCN(C)C)CC1,CCN(CC)CCSCC(C)C(=O)OCCOC(=O)CC[N+]1([H])CCN(CCN(C)C)CC1,1A2,CN(C)CCN1CCNCC1,,,SN3,CCN(CC)CCS,,,,,,,50.0,3.569263158,,DSPC,CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCCCC,38.0,Cholesterol,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,10.0,Unknown,,2.0,,,0.0,citrate,,handmixed,in_vitro,HeLa,in_vitro,in_vitro,siRNA,FLuc,0.1,luminescence_discretized_normalized,individual,-0.648408662,https://www.pnas.org/doi/10.1073/pnas.1520756113,26729861.0,32,1,0,17,474.323977,65.56,0,9,1.3532,132.246,0.913043478,1,4,474.712,True,False,False,-0.648408662
3556,LNP_0003556,KZ_2016,KZ_2016_F1224,1A3-SN3,CCN(CC)CCSCC(C)C(=O)OCCOC(=O)CCN1CCN(CCO)CC1,CCN(CC)CCSCC(C)C(=O)OCCOC(=O)CC[N+]1([H])CCN(CCO)CC1,1A3,C1CN(CCN1)CCO,,,SN3,CCN(CC)CCS,,,,,,,50.0,3.365729323,,DSPC,CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCCCC,38.0,Cholesterol,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,10.0,Unknown,,2.0,,,0.0,citrate,,handmixed,in_vitro,HeLa,in_vitro,in_vitro,siRNA,FLuc,0.1,luminescence_discretized_normalized,individual,-0.648408662,https://www.pnas.org/doi/10.1073/pnas.1520756113,26729861.0,30,1,0,16,447.2766924,82.55,1,9,0.7839,120.7778,0.904761905,1,3,447.642,True,False,False,-0.648408662
3557,LNP_0003557,KZ_2016,KZ_2016_F1225,1A4-SN3,CCN(CC)CCSCC(C)C(=O)OCCOC(=O)CCN(C)CCN(C)C,CCN(CC)CCSCC(C)C(=O)OCCOC(=O)CC[N+](C)(CCN(C)C)[H],1A4,CNCCN(C)C,,,SN3,CCN(CC)CCS,,,,,,,50.0,3.15512782,,DSPC,CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCCCC,38.0,Cholesterol,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,10.0,Unknown,,2.0,,,0.0,citrate,,handmixed,in_vitro,HeLa,in_vitro,in_vitro,siRNA,FLuc,0.1,luminescence_discretized_normalized,individual,-0.648408662,https://www.pnas.org/doi/10.1073/pnas.1520756113,26729861.0,28,0,0,17,419.2817778,62.32,0,8,1.6674,116.863,0.9,1,3,419.632,True,False,False,-0.648408662
